language,percentage,population(100m),sim
uig,0.001,0.01,0.5333807470626649
tpi,0.001,0.01,0.532713603903433
ckb,0.001,0.01,0.5205967931336314
pes,0.01,0.1,0.5205967931336314
quy,0.001,0.01,0.5205967931336314
tel,0.005,0.75,0.5205967931336314
asm,0.01,0.35,0.5198752449100363
kon,0.001,0.01,0.5198752449100363
fuv,0.001,0.01,0.5151274263289282
tam,0.01,0.76,0.5135135135135135
ewe,0.001,0.01,0.5074954869911409
bak,0.001,0.01,0.5067117097095317
tat,0.001,0.01,0.5067117097095317
tso,0.001,0.01,0.5067117097095317
tur,0.01,0.89,0.5067117097095317
kbp,0.001,0.01,0.5019578060538687
jpn,0.5001930129390555,0,0.5001930129390555
kir,0.001,0.01,0.48782135766494195
ssw,0.001,0.01,0.48782135766494195
kin,0.001,0.01,0.4864864864864865
xho,0.001,0.01,0.4800426723563984
grn,0.001,0.01,0.47930129326941084
nso,0.001,0.01,0.47384831384339077
swh,0.001,0.01,0.47384831384339077
kik,0.001,0.01,0.4724045122202192
kmb,0.001,0.01,0.4678877204190328
tuk,0.001,0.01,0.4678877204190328
umb,0.001,0.01,0.4678877204190328
kam,0.001,0.01,0.46579713069851236
lug,0.001,0.01,0.46579713069851236
sna,0.001,0.01,0.46579713069851236
bem,0.001,0.01,0.45945945945945943
run,0.001,0.01,0.45945945945945943
tsn,0.001,0.01,0.45945945945945943
nya,0.001,0.01,0.4533736350032652
tum,0.001,0.01,0.4533736350032652
knc,0.001,0.01,0.44752340751875797
kaz,0.001,0.01,0.44752340751875797
lua,0.001,0.01,0.44752340751875797
zul,0.44189395817353094,0,0.44189395817353094
cjk,0.001,0.01,0.43243243243243246
mni,0.001,0.01,0.4267045976501319
dzo,0.001,0.01,0.42291290582595065
twi,0.001,0.01,0.42291290582595065
aka,0.001,0.01,0.41099746826339323
kac,0.001,0.01,0.4068667356033675
mya,0.39487359486949225,0,0.39487359486949225
lus,0.001,0.01,0.3835976370458336
bod,0.36125050934487346,0,0.36125050934487346
